Puzzle,Difficulty
.2.4.......9.....8456....9..8..1..65.1...68....4..........8.9...789.1.....5.62..7,Expert
2.....5....6..9.8.....4...1..89............25...5.4967..5..87.4..........6.125...,Intermediate
46...8.....9.1.8.33.....5699..........8..5..7.7......1....81....1.4...9.5..3...7.,Easy
.....9..89764.3.....36.....13.......468...7..........4...15.8.6..9..4.535........,Intermediate
6....7..9.2..5.61.35.......5.4.......13....7.96..........97......5.361.7.9.2.1.5.,Expert
.......7...2.45......182..4.....7...4.9.2.....1..3.8...5...3..8..4259...3......1.,Expert
4......6..9.5.......5.9....9..4...2......19.31...63.....8...4..........6.2385....,Easy
8.............7.8535...27...8.....4.57..1..2...17..9.8.....94.3..41...9.2........,Easy
..47..6.....59..2.92...8.7.3.72...95.....3...6..85.....7.62...4......5...6.9...8.,Expert
9.4..2.7...63..2.9..2..4..636..8....8...6...7....3...4......5....59....2........8,Easy
.9.....76.24...1...1...6.3.....4..52.....3.....32......4.3.57.....6..5.19...1..4.,Expert
..4...5......1...9.9.6....735.........9..6..1.6.9...2...573..14...4.27...3..9....,Expert
...9.........4.......5.8.3.4...79..8...4.....7...8.1.6..98..6..5..6.3..1.73.1....,Intermediate
....8............2....5.7....9..4.5.2..7..14..1..2.3....1..94.7.8.17..2..32..5...,Easy
..72....5.287.4.1.....3...2..2.......7...9........1...7..3...5..9.8.2..7..1....43,Simple
..9.42..7...3.9....24.7...3.....4.3.6.....1.8...18.....87....1...2..3......26....,Easy
....3.72.864....1...2...4..67..1.....4....17.........5.1...36.7...7...51...2..3..,Easy
.3.2...........836.....9....679...42.42.8...9.........59......73.4....5.7..4.8.6.,Easy
..8.1.....5.978.6..........5..834.1.........61.....7..3..........67...8..7.45.13.,Expert
....8...221.47..5...4.....3.....32...........72..16...6...35..1......5..13....4.8,Intermediate
3.7.96..18..5.7...........2..8.53.1......82.6...7...58...93..6...........5..6.3.7,Easy
..2..84..3.5..1.....87.4.6......7..4....25.3..1.63.......5..........3..52...4...7,Expert
8.....94......5.8...6..8...62....1...9.6......1348..5..41.6..38...2.........54...,Expert
5..4...7..4...39.....968........2...9.78......5.3..4...956......24.8.3...8..37...,Intermediate
...1.3......25.4....7....3....3...58.528.7913.....52...3..98..2..8.........4.2..9,Easy
59.418......9.........56......1.....8...4.91......34.771..........83.1...4.69...3,Expert
....2..8..........24.3..1...8...5...3..6....915.2.846......1...6.....9.88...5..3.,Expert
...2987........32..........7...8.9..6..32....2..7.915.83....6...67.3...99.1..7...,Expert
.25.9.......2...8.6...8...3....2..6........7...97..4.5...36.5..7.6..23..5....8..4,Easy
1....8.2.5......83....35........3678......3..2..1....4..4....37.27.4...6..6.....5,Easy
.37.4.2.....5.7...1.5..24.7.21.65...4..823......1.....68..54.2.......3..5.4......,Expert
....6327.7...5...6.....8.....34..6......92748........3.7.84.3...86..5....4......9,Intermediate
.749..1......43.2.3.......9........3..7.12.9..9..6.8......7.......6...4.6.8..4.12,Expert
